,NAME,S0201_308E,POPGROUP,metropolitan statistical area/micropolitan statistical area
0,"Akron, OH Metro Area",86.0,001,10420
1,"Albany-Schenectady-Troy, NY Metro Area",86.9,001,10580
2,"Albuquerque, NM Metro Area",82.0,001,10740
3,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",84.8,001,10900
4,"Atlanta-Sandy Springs-Roswell, GA Metro Area",88.4,001,12060
5,"Augusta-Richmond County, GA-SC Metro Area",80.2,001,12260
6,"Austin-Round Rock, TX Metro Area",91.3,001,12420
7,"Bakersfield, CA Metro Area",84.2,001,12540
8,"Baltimore-Columbia-Towson, MD Metro Area",87.6,001,12580
9,"Baton Rouge, LA Metro Area",85.4,001,12940
10,"Birmingham-Hoover, AL Metro Area",83.5,001,13820
11,"Boise City, ID Metro Area",88.7,001,14260
12,"Boston-Cambridge-Newton, MA-NH Metro Area",89.6,001,14460
13,"Bridgeport-Stamford-Norwalk, CT Metro Area",90.6,001,14860
14,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",84.1,001,15380
15,"Cape Coral-Fort Myers, FL Metro Area",87.4,001,15980
16,"Charleston-North Charleston, SC Metro Area",84.2,001,16700
17,"Charlotte-Concord-Gastonia, NC-SC Metro Area",88.7,001,16740
18,"Chattanooga, TN-GA Metro Area",84.2,001,16860
19,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",86.6,001,16980
20,"Cincinnati, OH-KY-IN Metro Area",87.0,001,17140
21,"Cleveland-Elyria, OH Metro Area",83.1,001,17460
22,"Colorado Springs, CO Metro Area",91.9,001,17820
23,"Columbia, SC Metro Area",85.4,001,17900
24,"Columbus, OH Metro Area",88.3,001,18140
25,"Dallas-Fort Worth-Arlington, TX Metro Area",88.3,001,19100
26,"Dayton, OH Metro Area",86.7,001,19380
27,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",81.2,001,19660
28,"Denver-Aurora-Lakewood, CO Metro Area",90.8,001,19740
29,"Des Moines-West Des Moines, IA Metro Area",87.5,001,19780
30,"Detroit-Warren-Dearborn, MI Metro Area",85.0,001,19820
31,"Durham-Chapel Hill, NC Metro Area",87.3,001,20500
32,"El Paso, TX Metro Area",79.6,001,21340
33,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",80.9,001,22220
34,"Fresno, CA Metro Area",81.3,001,23420
35,"Grand Rapids-Wyoming, MI Metro Area",86.8,001,24340
36,"Greensboro-High Point, NC Metro Area",79.8,001,24660
37,"Greenville-Anderson-Mauldin, SC Metro Area",83.3,001,24860
38,"Harrisburg-Carlisle, PA Metro Area",84.4,001,25420
39,"Hartford-West Hartford-East Hartford, CT Metro Area",86.6,001,25540
40,"Houston-The Woodlands-Sugar Land, TX Metro Area",87.7,001,26420
41,"Indianapolis-Carmel-Anderson, IN Metro Area",85.4,001,26900
42,"Jackson, MS Metro Area",81.3,001,27140
43,"Jacksonville, FL Metro Area",88.5,001,27260
44,"Kansas City, MO-KS Metro Area",87.3,001,28140
45,"Knoxville, TN Metro Area",81.7,001,28940
46,"Lakeland-Winter Haven, FL Metro Area",73.0,001,29460
47,"Lancaster, PA Metro Area",80.9,001,29540
48,"Las Vegas-Henderson-Paradise, NV Metro Area",85.4,001,29820
49,"Lexington-Fayette, KY Metro Area",88.9,001,30460
50,"Little Rock-North Little Rock-Conway, AR Metro Area",81.7,001,30780
51,"Los Angeles-Long Beach-Anaheim, CA Metro Area",87.7,001,31080
52,"Louisville/Jefferson County, KY-IN Metro Area",84.2,001,31140
53,"Madison, WI Metro Area",87.7,001,31540
54,"McAllen-Edinburg-Mission, TX Metro Area",68.9,001,32580
55,"Memphis, TN-MS-AR Metro Area",78.0,001,32820
56,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",83.9,001,33100
57,"Milwaukee-Waukesha-West Allis, WI Metro Area",84.2,001,33340
58,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",89.5,001,33460
